name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.html.dom.HTMLOptGroupElementImpl,5,4,0,2,11,10,0,2,5,2,30,0,0,0.959183673,0.45,0,0,5,1,0.8,1
org.apache.wml.WMLPElement,6,1,0,2,6,15,1,1,6,2,6,0,0,0,0.75,0,0,0,1,1,1
org.w3c.dom.html.HTMLTitleElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
org.w3c.dom.html.HTMLLegendElement,5,1,0,0,5,10,0,0,5,2,5,0,0,0,0.7,0,0,0,1,1,0
org.w3c.dom.events.EventListener,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
org.apache.html.dom.HTMLModElementImpl,5,4,0,2,8,10,0,2,5,2,28,0,0,0.959183673,0.6,0,0,4.6,1,0.8,1
org.apache.xerces.dom.CoreDOMImplementationImpl,6,1,0,2,19,13,1,2,5,0.8,127,0,1,0,0.533333333,0,0,20,11,3,1
org.apache.wml.WMLBigElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
org.apache.wml.dom.WMLTrElementImpl,5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488372,0.6,1,4,4.6,1,0.8,1
org.apache.html.dom.HTMLHtmlElementImpl,3,4,0,2,7,3,1,2,3,2,19,0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,1
org.xml.sax.ext.LexicalHandler,7,1,0,0,7,21,0,0,7,2,7,0,0,0,0.428571429,0,0,0,1,1,0
org.w3c.dom.traversal.NodeIterator,7,1,0,0,7,21,0,0,7,2,7,0,0,0,1,0,0,0,1,1,0
org.apache.xerces.dom.EntityImpl,14,4,1,4,19,79,3,2,14,0.945054945,133,0.857142857,0,0.858695652,0.392857143,2,6,8,2,1.7143,1
org.w3c.dom.events.EventException,1,4,0,0,2,0,0,0,1,2,10,0,0,1,1,0,0,7,0,0,0
org.apache.xerces.dom.DeferredEntityReferenceImpl,5,3,0,5,13,0,1,5,1,0.75,59,0.5,0,0.921568627,0.466666667,2,6,10.4,1,0.8,1
org.w3c.dom.html.HTMLParagraphElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
org.apache.wml.WMLMetaElement,10,1,0,2,10,45,1,1,10,2,10,0,0,0,0.5,0,0,0,1,1,1
org.apache.xerces.dom.AttrImpl,38,2,2,13,98,421,10,4,24,0.817567568,1100,0.75,1,0.556962025,0.174174174,1,17,27.84210526,11,2.6053,1
org.apache.wml.WMLStrongElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
org.apache.wml.dom.WMLNoopElementImpl,5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488372,0.6,1,4,4.6,1,0.8,1
org.xml.sax.XMLFilter,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
org.w3c.dom.events.Event,10,1,0,0,10,45,0,0,10,1.111111111,13,0,0,0,0.4,0,0,0,1,1,0
javax.xml.parsers.FactoryFinder,6,1,0,0,36,15,0,0,0,0.933333333,304,0.333333333,0,0,0.333333333,0,0,49.16666667,1,0.8333,1
org.xml.sax.ext.DeclHandler,4,1,0,0,4,6,0,0,4,2,4,0,0,0,1,0,0,0,1,1,0
org.apache.wml.dom.WMLOptionElementImpl,13,4,0,3,16,78,0,3,13,2,72,0,0,0.872340426,0.538461538,1,7,4.538461538,1,0.9231,1
org.w3c.dom.DocumentType,6,1,0,0,6,15,0,0,6,2,6,0,0,0,1,0,0,0,1,1,0
org.apache.html.dom.HTMLTableElementImpl,36,4,0,6,58,630,1,6,35,1,471,1,2,0.728682171,0.214285714,0,0,12.02777778,7,2,1
org.apache.wml.WMLSmallElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
org.apache.xerces.dom.AttrNSImpl,6,3,1,4,21,3,3,2,4,0.96,255,0.4,0,0.9375,0.611111111,3,3,40.66666667,3,1.3333,1
org.apache.html.dom.HTMLBuilder,11,1,0,5,37,0,0,5,11,0.716666667,332,1,3,0,0.318181818,0,0,28.63636364,1,0.9091,1
org.apache.wml.dom.WMLRefreshElementImpl,5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488372,0.6,1,4,4.6,1,0.8,1
org.apache.xerces.dom.DeferredElementNSImpl,4,4,0,6,20,0,1,6,1,0.666666667,118,0.5,0,0.962025316,0.5,3,11,28,6,2,1
org.w3c.dom.html.HTMLMenuElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
org.apache.html.dom.HTMLTableColElementImpl,13,4,0,2,21,78,0,2,13,2,103,0,0,0.886792453,0.403846154,0,0,6.923076923,3,1.2308,1
org.apache.html.dom.HTMLDivElementImpl,3,4,0,2,7,3,0,2,3,2,19,0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,1
org.apache.xerces.dom.AttributeMap,12,2,0,6,50,24,1,6,5,2,719,0,0,0.52173913,0.321428571,1,9,58.91666667,10,3.1667,1
javax.xml.parsers.DocumentBuilder,12,1,1,0,22,66,0,0,11,2,100,0,0,0,0.238095238,0,0,7.333333333,1,0.9167,0
org.w3c.dom.html.HTMLFrameElement,16,1,0,0,16,120,0,0,16,2,16,0,0,0,0.5,0,0,0,1,1,0
org.apache.html.dom.HTMLFormElementImpl,18,4,0,3,25,153,0,3,18,0.941176471,102,1,1,0.846846847,0.481481481,0,0,4.611111111,2,1,1
org.apache.wml.WMLTdElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
org.apache.wml.dom.WMLTimerElementImpl,9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111111,0.555555556,1,5,4.555555556,1,0.8889,1
org.apache.wml.dom.WMLCardElementImpl,19,4,0,3,24,171,0,3,19,2,107,0,0,0.82,0.394736842,1,6,4.631578947,1,0.9474,1
org.apache.html.dom.HTMLAnchorElementImpl,27,4,0,2,35,351,0,2,27,2,171,0,0,0.783333333,0.37962963,0,0,5.333333333,3,1.1111,1
org.apache.wml.dom.WMLUElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,1
org.w3c.dom.html.HTMLOptionElement,13,1,0,0,13,78,0,0,13,2,13,0,0,0,0.461538462,0,0,0,1,1,0
org.apache.html.dom.HTMLDirectoryElementImpl,3,4,0,2,6,3,0,2,3,2,17,0,0,0.979166667,0.5,0,0,4.666666667,1,0.6667,1
org.apache.xml.serialize.HTMLSerializer,18,2,1,7,82,119,2,5,11,0.529411765,1240,0.5,0,0.823529412,0.20855615,1,8,67.77777778,2,0.7778,1
org.w3c.dom.html.HTMLHeadElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
org.apache.html.dom.HTMLLinkElementImpl,19,4,0,2,24,171,0,2,19,2,105,0,0,0.839285714,0.394736842,0,0,4.526315789,1,0.9474,1
org.apache.html.dom.HTMLDocumentImpl,34,3,0,59,83,541,55,9,29,0.96969697,1017,0.8,5,0.733333333,0.284848485,2,4,28.61764706,7,2.2059,1
org.apache.html.dom.HTMLOptionElementImpl,15,4,0,3,38,105,1,2,15,2,195,0,0,0.87037037,0.32,1,1,12,6,1.7333,1
org.apache.wml.WMLOptgroupElement,4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,1
org.w3c.dom.html.HTMLFontElement,6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.75,0,0,0,1,1,0
org.apache.wml.WMLTemplateElement,6,1,0,2,6,15,1,1,6,2,6,0,0,0,0.75,0,0,0,1,1,1
org.w3c.dom.events.EventTarget,3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
org.apache.wml.dom.WMLPrevElementImpl,5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488372,0.6,1,4,4.6,1,0.8,1
org.apache.html.dom.HTMLParamElementImpl,9,4,0,2,13,36,0,2,9,2,52,0,0,0.921568627,0.555555556,1,1,4.777777778,1,0.8889,1
org.apache.xml.serialize.Printer,18,1,1,6,28,25,5,1,18,0.647058824,390,1,1,0,0.179012346,0,0,20.22222222,1,0.9444,1
org.w3c.dom.html.HTMLLabelElement,5,1,0,0,5,10,0,0,5,2,5,0,0,0,0.7,0,0,0,1,1,0
org.w3c.dom.html.HTMLInputElement,38,1,0,0,38,703,0,0,38,2,38,0,0,0,0.355263158,0,0,0,1,1,0
org.apache.xerces.jaxp.DocumentBuilderFactoryImpl,4,2,0,2,16,0,0,2,4,0.333333333,89,1,0,0.884615385,0.583333333,1,1,21,1,0.75,1
org.apache.wml.WMLIElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
org.apache.html.dom.HTMLParagraphElementImpl,3,4,0,2,6,3,0,2,3,2,17,0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,1
org.apache.xerces.parsers.SAXParser,4,4,0,7,8,6,2,5,4,2,29,0,0,1,0.5,0,0,6.25,0,0,1
org.xml.sax.helpers.XMLReaderFactory,3,1,0,0,14,3,0,0,2,2,102,0,0,0,0.333333333,0,0,33,1,0.6667,1
org.apache.xerces.dom.NodeImpl,63,1,3,22,79,1617,22,2,36,0.956575682,531,0.846153846,1,0,0.147619048,0,0,7.222222222,5,1.4127,1
org.apache.html.dom.HTMLCollectionImpl,9,1,0,9,22,18,7,2,3,1.028846154,366,0.153846154,1,0,0.317460317,0,0,38.22222222,17,4.6667,1
org.apache.xerces.dom.DeferredElementImpl,4,3,0,6,16,0,1,6,1,0.666666667,82,0.5,0,0.96,0.5,2,8,19,3,1.25,1
org.apache.xerces.dom.CDATASectionImpl,3,4,1,3,4,3,2,2,3,1.5,13,0,0,0.967741935,0.555555556,1,4,3,1,0.6667,1
org.xml.sax.helpers.DefaultHandler,18,1,1,0,19,153,0,0,18,2,40,0,0,0,0.285714286,0,0,1.222222222,1,0.9444,0
org.apache.xerces.dom.DeferredNotationImpl,3,3,0,4,10,0,1,4,1,0.75,50,0.5,0,0.961538462,0.555555556,2,3,15,1,0.6667,1
org.xml.sax.DTDHandler,2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0
org.apache.wml.WMLEmElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
org.apache.html.dom.HTMLBRElementImpl,3,4,0,2,7,3,0,2,3,2,19,0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,1
org.w3c.dom.html.HTMLSelectElement,22,1,0,0,22,231,0,0,22,2,22,0,0,0,0.281818182,0,0,0,1,1,0
org.apache.wml.dom.WMLIElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,1
org.apache.wml.dom.WMLPElementImpl,11,4,0,3,14,55,0,3,11,2,61,0,0,0.891304348,0.545454545,1,6,4.545454545,1,0.9091,1
javax.xml.parsers.FactoryConfigurationError,6,3,0,0,11,0,0,0,6,0,52,1,0,0.894736842,0.555555556,1,1,7.5,3,0.6667,0
org.w3c.dom.html.HTMLParamElement,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.75,0,0,0,1,1,0
org.apache.html.dom.HTMLImageElementImpl,27,4,0,2,33,351,0,2,27,2,151,0,0,0.783333333,0.388888889,0,0,4.592592593,1,0.963,1
org.apache.wml.dom.WMLBigElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,1
org.w3c.dom.html.HTMLQuoteElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
org.w3c.dom.html.HTMLLinkElement,18,1,0,0,18,153,0,0,18,2,18,0,0,0,0.5,0,0,0,1,1,0
org.apache.wml.dom.WMLBElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,1
org.xml.sax.SAXNotSupportedException,1,4,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,0
org.w3c.dom.html.HTMLObjectElement,35,1,0,0,35,595,0,0,35,2,35,0,0,0,0.371428571,0,0,0,1,1,0
org.w3c.dom.html.HTMLDocument,19,1,0,0,19,171,0,0,19,2,19,0,0,0,0.438596491,0,0,0,1,1,0
org.apache.wml.dom.WMLDoElementImpl,15,4,0,3,18,105,0,3,15,2,83,0,0,0.854166667,0.533333333,1,6,4.533333333,1,0.9333,1
org.apache.html.dom.HTMLAppletElementImpl,23,4,0,2,26,253,0,2,23,2,127,0,0,0.810344828,0.52173913,0,0,4.52173913,1,0.9565,1
org.apache.wml.WMLDOMImplementation,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
org.w3c.dom.html.HTMLModElement,4,1,0,0,4,6,0,0,4,2,4,0,0,0,0.75,0,0,0,1,1,0
org.apache.xerces.dom.DOMImplementationImpl,6,1,2,6,19,13,4,3,5,0.8,157,0,1,0,0.533333333,0,0,25,20,4.5,1
org.w3c.dom.html.HTMLDOMImplementation,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
org.w3c.dom.traversal.DocumentTraversal,2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0
org.xml.sax.InputSource,14,1,0,0,15,81,0,0,14,0.876923077,75,1,0,0,0.392857143,0,0,4,1,0.7143,0
org.apache.html.dom.HTMLHeadElementImpl,3,4,0,2,6,3,1,2,3,2,17,0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,1
org.xml.sax.DocumentHandler,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.354166667,0,0,0,1,1,0
org.apache.wml.dom.WMLFieldsetElementImpl,9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111111,0.555555556,1,6,4.555555556,1,0.8889,1
org.xml.sax.HandlerBase,15,1,0,0,16,105,0,0,15,2,34,0,0,0,0.285714286,0,0,1.266666667,1,0.9333,0
org.apache.xerces.dom.DeepNodeListImpl,5,1,1,4,21,0,3,2,4,0.25,264,1,1,0,0.44,0,0,50.6,22,6,1
org.apache.html.dom.HTMLDOMImplementationImpl,4,2,0,2,8,4,0,2,2,0.666666667,31,1,1,0.666666667,0.5,0,0,6.5,1,0.5,1
org.w3c.dom.html.HTMLBaseFontElement,6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.75,0,0,0,1,1,0
org.w3c.dom.ProcessingInstruction,3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
org.apache.wml.WMLTrElement,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
org.w3c.dom.html.HTMLDivElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
org.apache.wml.WMLAElement,8,1,0,2,8,28,1,1,8,2,8,0,0,0,0.75,0,0,0,1,1,1
org.apache.xerces.dom.RangeImpl,55,1,0,3,99,473,1,3,26,0.798941799,2660,0,7,0,0.246464646,0,0,47.10909091,20,3.8182,1
org.apache.wml.WMLBrElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
org.apache.html.dom.NameNodeListImpl,2,2,0,4,10,1,1,3,1,2,76,0,0,0.75,0.625,2,2,37,11,5.5,1
org.xml.sax.helpers.NamespaceSupport,13,1,0,0,30,4,0,0,11,0.733333333,238,0.8,2,0,0.375,0,0,16.92307692,4,1.4615,0
org.apache.xerces.jaxp.SAXParserImpl,8,2,0,3,25,0,1,2,6,0.714285714,139,1,2,0.730769231,0.35,1,1,15.875,1,0.875,1
javax.xml.parsers.SAXParserFactory,9,1,1,0,14,24,0,0,8,0.75,48,1,0,0,0.481481481,0,0,4.111111111,1,0.8889,0
org.w3c.dom.ranges.DocumentRange,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
org.apache.xerces.dom.NodeIteratorImpl,13,1,0,1,24,8,1,1,9,0.6875,380,1,4,0,0.307692308,0,0,27.61538462,11,4.2308,1
org.apache.wml.dom.WMLSetvarElementImpl,9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111111,0.555555556,1,5,4.555555556,1,0.8889,1
org.apache.wml.WMLAnchorElement,4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,1
org.apache.wml.dom.WMLWmlElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,1
org.apache.xerces.dom.DeferredEntityImpl,4,3,0,5,16,0,1,5,1,0.666666667,93,0.5,0,0.946428571,0.5,2,7,21.75,1,0.75,1
org.apache.xerces.dom.LCount,3,1,0,1,7,1,1,0,0,0.5,42,0,0,0,0.5,0,0,11.66666667,2,0.6667,1
org.w3c.dom.html.HTMLMapElement,3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
org.w3c.dom.DocumentFragment,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLTableCellElementImpl,31,4,0,3,46,465,1,2,31,2,259,0,0,0.758064516,0.309677419,0,0,7.35483871,6,1.3871,1
org.apache.xerces.dom.DeferredElementDefinitionImpl,4,3,0,6,16,0,1,6,1,0.666666667,84,0.5,0,0.94,0.5,2,7,19.5,2,1,1
org.apache.xml.serialize.Serializer,6,1,0,5,6,15,3,2,6,2,6,0,0,0,0.375,0,0,0,1,1,1
org.xml.sax.ErrorHandler,3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,1,1,0
org.w3c.dom.DOMImplementation,3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.777777778,0,0,0,1,1,0
org.apache.xml.serialize.BaseMarkupSerializer,57,1,3,10,126,920,3,7,38,0.771428571,2036,0.933333333,4,0,0.136302294,0,0,34.45614035,7,1.2456,1
org.apache.xml.serialize.HTMLdtd,19,1,0,1,46,149,1,0,11,0.984126984,713,0.761904762,0,0,0.233333333,0,0,35.42105263,15,2.7895,1
org.apache.html.dom.HTMLTableSectionElementImpl,14,4,0,5,29,91,2,4,12,1,172,1,1,0.878504673,0.357142857,0,0,11.21428571,4,1.7857,1
org.apache.wml.dom.WMLEmElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,1
org.apache.wml.WMLUElement,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
org.apache.xerces.dom.ProcessingInstructionImpl,6,3,1,4,10,9,3,2,6,0.9,46,0.5,0,0.915254237,0.5,1,5,6.333333333,2,1.3333,1
org.w3c.dom.html.HTMLHtmlElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
org.apache.wml.WMLFieldsetElement,4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,1
org.apache.xerces.dom.RangeExceptionImpl,1,5,0,1,2,0,1,0,1,2,6,0,0,1,1,0,0,5,0,0,1
org.apache.html.dom.HTMLIFrameElementImpl,21,4,0,2,25,210,0,2,21,2,120,0,0,0.824561404,0.523809524,0,0,4.714285714,1,0.9524,1
org.w3c.dom.html.HTMLDListElement,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
org.w3c.dom.events.DocumentEvent,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
org.apache.xml.serialize.XMLSerializer,14,2,0,5,86,41,1,4,10,2,1128,0,0,0.848484848,0.246031746,2,7,79.57142857,7,1.2143,1
org.apache.html.dom.HTMLFontElementImpl,7,4,0,2,11,21,0,2,7,2,43,0,0,0.94,0.571428571,0,0,5.142857143,1,0.8571,1
org.w3c.dom.CDATASection,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
javax.xml.parsers.DocumentBuilderFactory,17,1,1,0,22,100,0,0,16,0.875,100,1,0,0,0.367647059,0,0,4.529411765,1,0.9412,0
org.apache.wml.WMLOptionElement,8,1,0,2,8,28,1,1,8,2,8,0,0,0,0.75,0,0,0,1,1,1
org.apache.xerces.dom.NamedNodeMapImpl,22,1,1,8,49,41,6,2,9,0.843537415,596,0.857142857,1,0,0.227272727,0,0,25.77272727,11,2.4545,1
org.apache.wml.dom.WMLStrongElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,1
org.apache.wml.WMLImgElement,18,1,0,2,18,153,1,1,18,2,18,0,0,0,0.75,0,0,0,1,1,1
org.apache.xml.serialize.SieveEncodingInfo,3,2,0,3,12,1,1,2,3,0,159,0,1,0.75,0.888888889,0,0,51,9,3,0
org.xml.sax.Attributes,12,1,0,0,12,66,0,0,12,2,12,0,0,0,0.638888889,0,0,0,1,1,0
org.w3c.dom.html.HTMLHRElement,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.5,0,0,0,1,1,0
org.apache.html.dom.HTMLTableRowElementImpl,20,4,0,6,42,190,2,6,19,1,284,0,1,0.831858407,0.275,0,0,13.15,4,2,1
org.apache.wml.WMLCardElement,14,1,0,2,14,91,1,1,14,2,14,0,0,0,0.5,0,0,0,1,1,1
org.w3c.dom.NamedNodeMap,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.46875,0,0,0,1,1,0
org.apache.xerces.dom.DeferredDocumentTypeImpl,4,3,0,7,30,0,1,7,1,0.666666667,173,0.5,0,0.947368421,0.5,2,5,41.75,8,2.5,1
org.apache.html.dom.HTMLFormControl,0,1,0,8,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,1
org.apache.wml.WMLPrevElement,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
org.apache.xerces.dom.CoreDocumentImpl,78,4,1,42,166,2643,39,21,49,0.944805195,1258,0.833333333,3,0.519736842,0.129058442,2,19,14.97435897,9,1.3333,1
org.apache.wml.WMLPostfieldElement,4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,1
org.w3c.dom.ranges.RangeException,1,4,1,0,2,0,0,0,1,2,11,0,0,1,1,0,0,7,0,0,0
org.w3c.dom.Node,25,1,0,0,25,300,0,0,25,1.041666667,37,0,0,0,0.33,0,0,0,1,1,0
org.apache.xerces.dom.DocumentTypeImpl,15,4,1,10,27,57,7,4,14,0.821428571,200,0.875,3,0.858695652,0.383333333,2,9,11.8,2,1.5333,1
org.w3c.dom.html.HTMLCollection,3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.555555556,0,0,0,1,1,0
org.apache.xerces.dom.TreeWalkerImpl,23,1,0,1,32,115,1,0,15,0.618181818,588,0.2,3,0,0.32173913,0,0,24.34782609,10,3.6522,1
org.apache.wml.dom.WMLOptgroupElementImpl,9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111111,0.555555556,1,6,4.555555556,1,0.8889,1
org.apache.xml.serialize.Method,1,1,0,0,2,0,0,0,1,2,9,0,0,0,1,0,0,3,0,0,1
org.apache.wml.WMLSetvarElement,4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,1
org.apache.wml.dom.WMLHeadElementImpl,5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488372,0.6,1,4,4.6,1,0.8,1
